date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,ds,Adj. Close,Adj. Open,y,Daily Change
1998-01-02,34.38,34.5,33.0,33.87,5.645,221400.0,0.0,1.0,1998-01-02,33.87,34.38,33.87,-0.5100000000000051
1998-01-05,34.12,34.38,32.75,34.0,5.6667,125500.0,0.0,1.0,1998-01-05,34.0,34.12,34.0,-0.11999999999999744
1998-01-06,33.5,35.25,33.5,35.0,5.8333,273700.0,0.0,1.0,1998-01-06,35.0,33.5,35.0,1.5
1998-01-07,35.0,36.0,34.0,34.25,5.7083,493300.0,0.0,1.0,1998-01-07,34.25,35.0,34.25,-0.75
1998-01-08,35.13,35.88,34.5,35.25,5.875,353400.0,0.0,1.0,1998-01-08,35.25,35.13,35.25,0.11999999999999744
1998-01-09,35.5,36.0,34.75,35.94,5.99,253500.0,0.0,1.0,1998-01-09,35.94,35.5,35.94,0.4399999999999977
1998-01-12,35.5,36.0,34.5,35.0,5.8333,277600.0,0.0,1.0,1998-01-12,35.0,35.5,35.0,-0.5
1998-01-13,35.0,37.62,35.0,37.38,6.23,575100.0,0.0,1.0,1998-01-13,37.38,35.0,37.38,2.3800000000000026
1998-01-14,36.56,39.0,36.5,39.0,6.5,968200.0,0.0,1.0,1998-01-14,39.0,36.56,39.0,2.4399999999999977
1998-01-15,39.0,40.25,38.75,39.25,6.5417,460500.0,0.0,1.0,1998-01-15,39.25,39.0,39.25,0.25
1998-01-16,40.0,40.0,37.38,38.75,6.4583,161600.0,0.0,1.0,1998-01-16,38.75,40.0,38.75,-1.25
1998-01-20,39.12,43.25,38.88,43.25,7.2083,1087100.0,0.0,1.0,1998-01-20,43.25,39.12,43.25,4.130000000000003
1998-01-21,42.75,43.25,41.5,42.38,7.0633,458200.0,0.0,1.0,1998-01-21,42.38,42.75,42.38,-0.36999999999999744
1998-01-22,41.75,42.5,41.62,42.0,7.0,173500.0,0.0,1.0,1998-01-22,42.0,41.75,42.0,0.25
1998-01-23,42.38,42.38,41.5,42.0,7.0,463900.0,0.0,1.0,1998-01-23,42.0,42.38,42.0,-0.38000000000000256
1998-01-26,42.0,42.0,41.0,41.0,6.8333,109200.0,0.0,1.0,1998-01-26,41.0,42.0,41.0,-1.0
1998-01-27,41.0,42.0,40.0,41.56,6.9267,173900.0,0.0,1.0,1998-01-27,41.56,41.0,41.56,0.5600000000000023
1998-01-28,41.94,42.87,41.31,42.75,7.125,187100.0,0.0,1.0,1998-01-28,42.75,41.94,42.75,0.8100000000000023
1998-01-29,42.5,44.25,41.62,42.87,7.145,327700.0,0.0,1.0,1998-01-29,42.87,42.5,42.87,0.36999999999999744
1998-01-30,42.19,42.63,41.13,41.75,6.9583,395100.0,0.0,1.0,1998-01-30,41.75,42.19,41.75,-0.4399999999999977
1998-02-02,42.25,44.5,42.25,43.12,7.1867,521500.0,0.0,1.0,1998-02-02,43.12,42.25,43.12,0.8699999999999974
1998-02-03,43.0,43.62,42.0,42.5,7.0833,153700.0,0.0,1.0,1998-02-03,42.5,43.0,42.5,-0.5
1998-02-04,42.87,43.38,41.75,42.5,7.0833,198900.0,0.0,1.0,1998-02-04,42.5,42.87,42.5,-0.36999999999999744
1998-02-05,43.0,44.5,40.5,41.5,6.9167,512000.0,0.0,1.0,1998-02-05,41.5,43.0,41.5,-1.5
1998-02-06,41.37,42.0,40.56,41.75,6.9583,347500.0,0.0,1.0,1998-02-06,41.75,41.37,41.75,0.38000000000000256
1998-02-09,41.25,43.88,41.25,43.38,7.23,454800.0,0.0,1.0,1998-02-09,43.38,41.25,43.38,2.1300000000000026
